epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0772,1.93962,3.30982,1.85571,0.00917,0.94444,0.13237,0.04026,1.72001,3.23734,1.65849,1.429e-05,1.429e-05,1.429e-05
2,20.4944,1.92306,3.21352,1.86403,0.00959,1,0.11248,0.03452,1.50627,3.20985,1.47113,4.24456e-05,4.24456e-05,4.24456e-05
3,29.8649,1.66107,3.1301,1.70833,0.00953,1,0.21732,0.07766,1.49433,3.18922,1.39578,7.00353e-05,7.00353e-05,7.00353e-05
4,39.3382,1.46007,3.09357,1.54245,0.00865,0.9375,0.33414,0.15954,1.51861,3.14088,1.49125,9.70591e-05,9.70591e-05,9.70591e-05
5,48.5549,1.47274,2.91187,1.48513,0.00864,0.9375,0.51037,0.21452,1.65755,3.14474,1.51676,0.000123517,0.000123517,0.000123517
6,58.7846,1.29887,2.7893,1.36513,0.00861,0.9375,0.34081,0.14815,1.88405,3.13688,1.51436,0.000149409,0.000149409,0.000149409
7,68.3313,1.22395,2.57748,1.33938,0.00866,0.9375,0.44375,0.20625,1.76787,3.06791,1.44283,0.000174735,0.000174735,0.000174735
8,79.9113,1.16114,2.31776,1.30865,0.00881,0.9375,0.55916,0.26432,1.5441,2.96737,1.38425,0.000199496,0.000199496,0.000199496
9,91.1391,1.08401,2.15833,1.26343,0.00884,0.9375,0.6895,0.26831,1.53154,2.92498,1.34693,0.00022369,0.00022369,0.00022369
10,101.922,0.99512,1.96356,1.24147,0.00896,0.9375,0.67719,0.28617,1.5149,2.87638,1.34817,0.000247318,0.000247318,0.000247318
11,112.683,1.05515,1.92954,1.28856,0.00907,0.9375,0.72042,0.34249,1.40416,2.79093,1.27564,0.000270381,0.000270381,0.000270381
12,123.508,0.96439,1.68691,1.22251,0.0102,1,0.75229,0.37663,1.25773,2.74534,1.10948,0.000292878,0.000292878,0.000292878
13,134.35,1.0396,1.68335,1.2563,0.02839,1,0.75084,0.38961,1.21717,2.67056,1.09701,0.000314809,0.000314809,0.000314809
14,149.193,0.95927,1.60551,1.23661,0.50759,0.81944,0.73922,0.38241,1.25255,2.57368,1.17461,0.000336174,0.000336174,0.000336174
15,161.723,0.8953,1.51617,1.12208,0.52814,0.75417,0.67291,0.39239,1.18703,2.49357,1.18099,0.000356973,0.000356973,0.000356973
16,173.19,0.95812,1.59384,1.17775,0.44814,0.40843,0.55025,0.3356,1.16562,2.4253,1.19653,0.000377206,0.000377206,0.000377206
17,184.666,0.9653,1.50955,1.16578,0.33084,0.38889,0.54352,0.32407,1.35863,2.41578,1.3001,0.000396873,0.000396873,0.000396873
18,195.782,0.86011,1.49412,1.17123,0.4716,0.51389,0.54919,0.32194,1.28072,2.30071,1.2818,0.000415975,0.000415975,0.000415975
19,206.831,0.75176,1.25622,1.06302,0.70154,0.40311,0.60385,0.39662,1.27526,2.23474,1.34354,0.00043451,0.00043451,0.00043451
20,219.151,0.84195,1.20014,1.16472,0.7034,0.4375,0.77146,0.52232,1.14627,2.06291,1.12966,0.00045248,0.00045248,0.00045248
21,236.344,0.80867,1.2026,1.12941,0.93535,0.42244,0.77846,0.57175,0.99051,1.87098,0.96623,0.000469884,0.000469884,0.000469884
22,252.069,0.84802,1.14777,1.1412,0.94681,0.5,0.76913,0.618,0.84474,1.74948,0.8767,0.000486722,0.000486722,0.000486722
23,266.839,0.82438,1.12548,1.12157,0.49596,0.61111,0.74043,0.62216,0.82787,1.74356,0.85292,0.000502994,0.000502994,0.000502994
24,279.777,0.76907,1.16462,1.08305,0.52671,0.67324,0.74004,0.55803,0.86932,1.76222,0.9357,0.0005187,0.0005187,0.0005187
25,294.236,0.76756,1.20923,1.0919,0.59859,0.82282,0.79171,0.54567,0.91257,1.8095,0.96102,0.00053384,0.00053384,0.00053384
26,308.871,0.73365,1.07445,1.01508,0.68628,0.82715,0.86217,0.62766,1.06949,1.79033,1.00205,0.000548414,0.000548414,0.000548414
27,323.246,0.7056,1.08662,1.09044,0.65366,0.84068,0.90806,0.69631,1.06621,1.59551,0.96893,0.000562423,0.000562423,0.000562423
28,338.505,0.81024,1.21749,1.09956,0.65366,0.84068,0.90806,0.69631,1.06621,1.59551,0.96893,0.000575866,0.000575866,0.000575866
29,361.402,0.74661,0.98715,1.0472,0.87761,0.82929,0.8973,0.72717,1.0659,1.31031,0.93201,0.000588742,0.000588742,0.000588742
30,380.846,0.846,1.1657,1.10761,0.84222,0.88889,0.90175,0.705,1.16803,1.0912,0.94795,0.000601053,0.000601053,0.000601053
31,399.245,0.75869,1.12504,1.08835,0.84222,0.88889,0.90175,0.705,1.16803,1.0912,0.94795,0.000612798,0.000612798,0.000612798
32,415.003,0.75897,1.03488,1.09284,0.87151,0.91267,0.90359,0.72133,1.13515,1.06583,0.92689,0.000623977,0.000623977,0.000623977
33,428.603,0.81238,1.11814,1.10917,0.73796,0.83333,0.86184,0.61618,1.2006,1.29407,1.00966,0.00063459,0.00063459,0.00063459
34,443.925,0.65729,1.03839,1.05313,0.73796,0.83333,0.86184,0.61618,1.2006,1.29407,1.00966,0.000644638,0.000644638,0.000644638
35,462.174,0.67246,1.1191,1.04757,0.75367,0.83333,0.80645,0.53716,1.28848,1.42908,1.15686,0.000654119,0.000654119,0.000654119
36,480.494,0.68973,0.96035,1.01454,0.76058,0.83333,0.81956,0.58673,1.23945,1.30422,1.05056,0.000663035,0.000663035,0.000663035
37,495.824,0.70164,1.00187,1.07413,0.76058,0.83333,0.81956,0.58673,1.23945,1.30422,1.05056,0.000671384,0.000671384,0.000671384
38,511.947,0.64878,0.98125,1.04573,0.85558,0.88462,0.89358,0.66924,1.15011,1.30844,0.91747,0.000679168,0.000679168,0.000679168
39,532.372,0.74018,1.01202,1.04208,0.79446,0.94444,0.90182,0.72272,1.04919,1.25762,0.87332,0.000686386,0.000686386,0.000686386
40,548.729,0.71268,0.95894,1.05527,0.79446,0.94444,0.90182,0.72272,1.04919,1.25762,0.87332,0.000693038,0.000693038,0.000693038
41,561.957,0.67494,0.97549,1.05503,0.64097,0.90326,0.85048,0.65927,1.07715,1.4453,0.92237,0.000699124,0.000699124,0.000699124
42,576.173,0.65335,0.92246,1.02948,0.69489,0.72222,0.82284,0.5107,1.40116,1.78219,1.32201,0.000704644,0.000704644,0.000704644
43,589.325,0.62421,0.89043,1.00449,0.69489,0.72222,0.82284,0.5107,1.40116,1.78219,1.32201,0.000709599,0.000709599,0.000709599
44,604.55,0.78954,1.00713,1.11362,0.71378,0.77438,0.81072,0.49147,1.47581,2.00859,1.43671,0.000713987,0.000713987,0.000713987
45,622.638,0.67126,0.88744,0.98859,0.71378,0.77438,0.81072,0.49147,1.47581,2.00859,1.43671,0.00071781,0.00071781,0.00071781
46,641.961,0.66947,0.93068,1.04213,0.76577,0.77778,0.85431,0.55559,1.40196,1.7045,1.37504,0.000721066,0.000721066,0.000721066
47,659.075,0.684,0.94846,1.07512,0.76577,0.77778,0.85431,0.55559,1.40196,1.7045,1.37504,0.000723757,0.000723757,0.000723757
48,673.119,0.65561,0.92531,1.02113,0.60366,0.88889,0.83,0.56957,1.39738,1.37852,1.33844,0.000725882,0.000725882,0.000725882
49,684.149,0.70591,0.99311,1.02714,0.60366,0.88889,0.83,0.56957,1.39738,1.37852,1.33844,0.000727441,0.000727441,0.000727441
50,697.383,0.61546,0.89998,1.02531,0.69901,0.88889,0.90757,0.64445,1.21776,1.28646,1.11051,0.000728434,0.000728434,0.000728434
51,710.222,0.62084,0.84942,1.04012,0.69901,0.88889,0.90757,0.64445,1.21776,1.28646,1.11051,0.000721645,0.000721645,0.000721645
52,722.131,0.57904,0.82453,0.98712,0.67151,0.94444,0.87625,0.6611,1.01065,1.2281,0.96165,0.000707498,0.000707498,0.000707498
53,734.407,0.72291,0.93674,1.02761,0.67151,0.94444,0.87625,0.6611,1.01065,1.2281,0.96165,0.000693351,0.000693351,0.000693351
54,748.013,0.61924,0.84645,1.00094,0.68207,0.94444,0.91067,0.71024,0.92826,1.10827,0.9383,0.000679204,0.000679204,0.000679204
55,761.789,0.61432,0.97082,0.98452,0.68207,0.94444,0.91067,0.71024,0.92826,1.10827,0.9383,0.000665057,0.000665057,0.000665057
56,774.306,0.65174,0.86583,1.0167,0.87824,0.8733,0.97025,0.77029,0.82422,1.04535,0.90722,0.000650909,0.000650909,0.000650909
57,785.163,0.61154,0.79038,1.0055,0.87824,0.8733,0.97025,0.77029,0.82422,1.04535,0.90722,0.000636762,0.000636762,0.000636762
58,795.76,0.64801,0.88026,1.03532,0.75632,0.95165,0.973,0.75424,0.79931,1.09617,0.91251,0.000622615,0.000622615,0.000622615
59,805.917,0.65001,0.84042,0.97664,0.75632,0.95165,0.973,0.75424,0.79931,1.09617,0.91251,0.000608468,0.000608468,0.000608468
60,814.847,0.64927,0.83627,1.00197,0.6301,0.96316,0.9602,0.77243,0.83406,1.12393,0.92975,0.000594321,0.000594321,0.000594321
61,824.277,0.59544,0.82856,1.0226,0.6301,0.96316,0.9602,0.77243,0.83406,1.12393,0.92975,0.000580174,0.000580174,0.000580174
62,833.629,0.65967,0.84298,0.98549,0.65029,0.87772,0.91348,0.7477,0.81162,1.18626,0.90253,0.000566027,0.000566027,0.000566027
63,842.901,0.58552,0.80065,0.9544,0.65029,0.87772,0.91348,0.7477,0.81162,1.18626,0.90253,0.00055188,0.00055188,0.00055188
64,852.324,0.58474,0.88895,1.00168,0.75773,0.82962,0.94292,0.75564,0.83822,1.14611,0.8925,0.000537733,0.000537733,0.000537733
65,862.015,0.5609,0.79338,0.99671,0.75773,0.82962,0.94292,0.75564,0.83822,1.14611,0.8925,0.000523586,0.000523586,0.000523586
66,872.262,0.53369,0.83546,0.98777,0.81289,0.94444,0.98283,0.81479,0.79457,1.05758,0.83851,0.000509438,0.000509438,0.000509438
67,881.707,0.52849,0.72576,0.98665,0.81289,0.94444,0.98283,0.81479,0.79457,1.05758,0.83851,0.000495291,0.000495291,0.000495291
68,891.635,0.54611,0.7639,0.96006,0.69269,0.97822,0.91896,0.7679,0.77578,1.05029,0.78709,0.000481144,0.000481144,0.000481144
69,901.045,0.55045,0.78294,0.99469,0.69269,0.97822,0.91896,0.7679,0.77578,1.05029,0.78709,0.000466997,0.000466997,0.000466997
70,910.309,0.56755,0.76457,0.99621,0.74923,0.88889,0.9315,0.79673,0.84203,1.10651,0.78888,0.00045285,0.00045285,0.00045285
71,919.251,0.57354,0.78898,0.97971,0.74923,0.88889,0.9315,0.79673,0.84203,1.10651,0.78888,0.000438703,0.000438703,0.000438703
72,928.256,0.57762,0.76312,0.98758,0.83377,0.88889,0.91456,0.73421,0.93087,1.13917,0.81297,0.000424556,0.000424556,0.000424556
73,937.197,0.56971,0.76411,1.02915,0.83377,0.88889,0.91456,0.73421,0.93087,1.13917,0.81297,0.000410409,0.000410409,0.000410409
74,946.257,0.54003,0.74735,0.94267,0.76662,0.88889,0.90125,0.68366,0.99358,1.2486,0.84952,0.000396262,0.000396262,0.000396262
75,955.738,0.55723,0.67807,0.97586,0.76662,0.88889,0.90125,0.68366,0.99358,1.2486,0.84952,0.000382115,0.000382115,0.000382115
76,964.906,0.50331,0.70814,0.9791,0.76239,0.88889,0.89151,0.68166,1.09804,1.28488,0.89394,0.000367967,0.000367967,0.000367967
77,973.841,0.51642,0.70185,0.96198,0.76239,0.88889,0.89151,0.68166,1.09804,1.28488,0.89394,0.00035382,0.00035382,0.00035382
78,983.032,0.55418,0.76702,1.004,0.78724,0.93758,0.90697,0.66434,1.03588,1.26941,0.86692,0.000339673,0.000339673,0.000339673
79,992.304,0.57536,0.71961,1.00514,0.78724,0.93758,0.90697,0.66434,1.03588,1.26941,0.86692,0.000325526,0.000325526,0.000325526
80,1001.16,0.48729,0.69832,0.99455,0.79851,0.94444,0.92263,0.72361,0.90498,1.18325,0.82787,0.000311379,0.000311379,0.000311379
81,1010.31,0.46959,0.64922,0.9732,0.79851,0.94444,0.92263,0.72361,0.90498,1.18325,0.82787,0.000297232,0.000297232,0.000297232
82,1019.73,0.51013,0.65548,0.93262,0.78444,0.94444,0.93639,0.7718,0.83029,1.07469,0.78483,0.000283085,0.000283085,0.000283085
83,1028.69,0.45955,0.62423,0.9243,0.78444,0.94444,0.93639,0.7718,0.83029,1.07469,0.78483,0.000268938,0.000268938,0.000268938
84,1037.61,0.59496,0.76976,1.01278,0.84293,0.87419,0.92576,0.79318,0.82081,1.00424,0.77126,0.000254791,0.000254791,0.000254791
85,1046.46,0.48268,0.70854,0.96046,0.84293,0.87419,0.92576,0.79318,0.82081,1.00424,0.77126,0.000240644,0.000240644,0.000240644
86,1055.35,0.48835,0.67423,0.95874,0.88139,0.87015,0.95112,0.82327,0.83063,0.96169,0.77272,0.000226497,0.000226497,0.000226497
87,1064.38,0.51107,0.68419,0.9685,0.88139,0.87015,0.95112,0.82327,0.83063,0.96169,0.77272,0.000212349,0.000212349,0.000212349
88,1073.7,0.52385,0.76039,0.99328,0.85685,0.87372,0.94137,0.81385,0.81133,0.93753,0.77289,0.000198202,0.000198202,0.000198202
89,1082.92,0.45128,0.64501,0.91126,0.85685,0.87372,0.94137,0.81385,0.81133,0.93753,0.77289,0.000184055,0.000184055,0.000184055
90,1091.74,0.46645,0.68652,0.92407,0.85006,0.88366,0.92556,0.822,0.8063,0.92354,0.78066,0.000169908,0.000169908,0.000169908
91,1100.7,0.52477,1.41496,1.05041,0.85006,0.88366,0.92556,0.822,0.8063,0.92354,0.78066,0.000155761,0.000155761,0.000155761
92,1109.64,0.59689,1.75787,1.164,0.85454,0.87724,0.92998,0.83126,0.80535,0.93847,0.78946,0.000141614,0.000141614,0.000141614
93,1118.6,0.50301,1.42167,1.01339,0.85454,0.87724,0.92998,0.83126,0.80535,0.93847,0.78946,0.000127467,0.000127467,0.000127467
94,1127.49,0.53655,1.38977,1.01175,0.80059,0.93642,0.92998,0.84229,0.80121,0.95099,0.79412,0.00011332,0.00011332,0.00011332
95,1136.7,0.4721,1.26273,0.94966,0.80059,0.93642,0.92998,0.84229,0.80121,0.95099,0.79412,9.91726e-05,9.91726e-05,9.91726e-05
96,1145.65,0.46541,1.26921,0.96804,0.80919,0.88889,0.91102,0.82674,0.78593,0.95418,0.79757,8.50255e-05,8.50255e-05,8.50255e-05
97,1154.65,0.48467,1.22553,0.98071,0.80919,0.88889,0.91102,0.82674,0.78593,0.95418,0.79757,7.08784e-05,7.08784e-05,7.08784e-05
98,1163.64,0.49218,1.13894,0.97552,0.80967,0.88889,0.90895,0.81351,0.77983,0.95625,0.79499,5.67313e-05,5.67313e-05,5.67313e-05
99,1172.82,0.44399,1.12836,0.94795,0.80967,0.88889,0.90895,0.81351,0.77983,0.95625,0.79499,4.25842e-05,4.25842e-05,4.25842e-05
100,1181.8,0.46563,1.09051,0.94817,0.8101,0.88889,0.90713,0.81229,0.76967,0.96354,0.79454,2.84371e-05,2.84371e-05,2.84371e-05
